org	machine	machine_name	std_name	std_name_long
AZGBBIO	Aurora	SSC-H	ssc_h	SSC-H
AZGBBIO	Aurora	SSC-A	ssc_a	SSC-A
AZGBBIO	Aurora	FSC-H	fsc_h	FSC-H
AZGBBIO	Aurora	FSC-A	fsc_a	FSC-A
AZGBBIO	SymphonyA3	FSC-A	fsc_a	FSC-A
AZGBBIO	SymphonyA3	FSC-H	fsc_h	FSC-H
AZGBBIO	SymphonyA3	SSC-A	ssc_a	SSC-A
AZGBBIO	SymphonyA3	SSC-H	ssc_h	SSC-H
AZGBBIO	SymphonyA5	FSC-A	fsc_a	FSC-A
AZGBBIO	SymphonyA5	FSC-H	fsc_h	FSC-H
AZGBBIO	SymphonyA5	SSC-A	ssc_a	SSC-A
AZGBBIO	SymphonyA5	SSC-H	ssc_h	SSC-H
AZSSF	Aurora	SSC-H	ssc_h	SSC-H
AZSSF	Aurora	SSC-A	ssc_a	SSC-A
AZSSF	Aurora	FSC-H	fsc_h	FSC-H
AZSSF	Aurora	FSC-A	fsc_a	FSC-A
AgilentSC	Quanteon	FSC-H	fsc_h	FSC-H
AgilentSC	Quanteon	SSC-H	ssc_h	SSC-H
AgilentSC	Quanteon	FSC-A	fsc_a	FSC-A
AgilentSC	Quanteon	SSC-A	ssc_a	SSC-A
AgilentSD	Penteon	FSC-H	fsc_h	FSC-H
AgilentSD	Penteon	SSC-H	ssc_h	SSC-H
AgilentSD	Penteon	FSC-A	fsc_a	FSC-A
AgilentSD	Penteon	SSC-A	ssc_a	SSC-A
BCLS	CytoflexLXNUV	FSC-H	fsc_h	FSC-H
BCLS	CytoflexLXNUV	FSC-A	fsc_a	FSC-A
BCLS	CytoflexLXNUV	SSC-H	ssc_h	SSC-H
BCLS	CytoflexLXNUV	SSC-A	ssc_a	SSC-A
BCLS	CytoflexLX	FSC-H	fsc_h	FSC-H
BCLS	CytoflexLX	FSC-A	fsc_a	FSC-A
BCLS	CytoflexLX	SSC-H	ssc_h	SSC-H
BCLS	CytoflexLX	SSC-A	ssc_a	SSC-A
BCLS	Cytoflex	FSC-H	fsc_h	FSC-H
BCLS	Cytoflex	FSC-A	fsc_a	FSC-A
BCLS	Cytoflex	SSC-H	ssc_h	SSC-H
BCLS	Cytoflex	SSC-A	ssc_a	SSC-A
BDSJ	Lyric-2	FSC-A	fsc_a	FSC-A
BDSJ	Lyric-2	SSC-A	ssc_a	SSC-A
BDSJ	Lyric-2	FSC-H	fsc_h	FSC-H
BDSJ	Lyric-2	SSC-H	ssc_h	SSC-H
BDSJ	Lyric	FSC-A	fsc_a	FSC-A
BDSJ	Lyric	SSC-A	ssc_a	SSC-A
BDSJ	Lyric	FSC-H	fsc_h	FSC-H
BDSJ	Lyric	SSC-H	ssc_h	SSC-H
BMSSeattle	CantoSORP-2	FSC-A	fsc_a	FSC-A
BMSSeattle	CantoSORP-2	FSC-H	fsc_h	FSC-H
BMSSeattle	CantoSORP-2	SSC-A	ssc_a	SSC-A
BMSSeattle	CantoSORP-2	SSC-H	ssc_h	SSC-H
BMSSeattle	CantoSORP-3	FSC-A	fsc_a	FSC-A
BMSSeattle	CantoSORP-3	FSC-H	fsc_h	FSC-H
BMSSeattle	CantoSORP-3	SSC-A	ssc_a	SSC-A
BMSSeattle	CantoSORP-3	SSC-H	ssc_h	SSC-H
BMSWarren	CantoSORP	FSC-A	fsc_a	FSC-A
BMSWarren	CantoSORP	FSC-H	fsc_h	FSC-H
BMSWarren	CantoSORP	SSC-A	ssc_a	SSC-A
BMSWarren	CantoSORP	SSC-H	ssc_h	SSC-H
BMSWarren	MQA10-1	FSC-A	fsc_a	FSC-A
BMSWarren	MQA10-1	SSC-A	ssc_a	SSC-A
BMSWarren	MQA10-1	FSC-H	fsc_h	FSC-H
BMSWarren	MQA10-1	SSC-H	ssc_h	SSC-H
BMSWarren	MQA10-2	FSC-A	fsc_a	FSC-A
BMSWarren	MQA10-2	SSC-A	ssc_a	SSC-A
BMSWarren	MQA10-2	FSC-H	fsc_h	FSC-H
BMSWarren	MQA10-2	SSC-H	ssc_h	SSC-H
CellBio	CytoflexS	FSC-H	fsc_h	FSC-H
CellBio	CytoflexS	FSC-A	fsc_a	FSC-A
CellBio	CytoflexS	SSC-H	ssc_h	SSC-H
CellBio	CytoflexS	SSC-A	ssc_a	SSC-A
FDACBER	AriaIII	FSC-A	fsc_a	FSC-A
FDACBER	AriaIII	FSC-H	fsc_h	FSC-H
FDACBER	AriaIII	SSC-A	ssc_a	SSC-A
FDACBER	AriaIII	SSC-H	ssc_h	SSC-H
FDACBER	Canto10	FSC-A	fsc_a	FSC-A
FDACBER	Canto10	FSC-H	fsc_h	FSC-H
FDACBER	Canto10	SSC-A	ssc_a	SSC-A
FDACBER	Canto10	SSC-H	ssc_h	SSC-H
FDACBER	CantoII-1	FSC-A	fsc_a	FSC-A
FDACBER	CantoII-1	FSC-H	fsc_h	FSC-H
FDACBER	CantoII-1	SSC-A	ssc_a	SSC-A
FDACBER	CantoII-1	SSC-H	ssc_h	SSC-H
FDACBER	Fortessa	FSC-A	fsc_a	FSC-A
FDACBER	Fortessa	FSC-H	fsc_h	FSC-H
FDACBER	Fortessa	SSC-A	ssc_a	SSC-A
FDACBER	Fortessa	SSC-H	ssc_h	SSC-H
ISAC	BRZE5	FS00-H	fsc_h	FSC-H
ISAC	BRZE5	FS00-A	fsc_a	FSC-A
ISAC	BRZE5	SS02-H	ssc_h	SSC-H
ISAC	BRZE5	SS02-A	ssc_a	SSC-A
ISAC	CantoII-1	FSC-A	fsc_a	FSC-A
ISAC	CantoII-1	FSC-H	fsc_h	FSC-H
ISAC	CantoII-1	SSC-A	ssc_a	SSC-A
ISAC	CantoII-1	SSC-H	ssc_h	SSC-H
ISAC	Lyric-1	FSC-A	fsc_a	FSC-A
ISAC	Lyric-1	FSC-H	fsc_h	FSC-H
ISAC	Lyric-1	SSC-A	ssc_a	SSC-A
ISAC	Lyric-1	SSC-H	ssc_h	SSC-H
KITE	CytoflexS	FSC-H	fsc_h	FSC-H
KITE	CytoflexS	FSC-A	fsc_a	FSC-A
KITE	CytoflexS	SSC-H	ssc_h	SSC-H
KITE	CytoflexS	SSC-A	ssc_a	SSC-A
MSKCC	Aurora	SSC-H	ssc_h	SSC-H
MSKCC	Aurora	SSC-A	ssc_a	SSC-A
MSKCC	Aurora	FSC-H	fsc_h	FSC-H
MSKCC	Aurora	FSC-A	fsc_a	FSC-A
NIBSC	AriaIII	FSC-A	fsc_a	FSC-A
NIBSC	AriaIII	FSC-H	fsc_h	FSC-H
NIBSC	AriaIII	SSC-A	ssc_a	SSC-A
NIBSC	AriaIII	SSC-H	ssc_h	SSC-H
NIBSC	CantoII-1	FSC-A	fsc_a	FSC-A
NIBSC	CantoII-1	FSC-H	fsc_h	FSC-H
NIBSC	CantoII-1	SSC-A	ssc_a	SSC-A
NIBSC	CantoII-1	SSC-H	ssc_h	SSC-H
NIBSC	CantoII-2	FSC-A	fsc_a	FSC-A
NIBSC	CantoII-2	FSC-H	fsc_h	FSC-H
NIBSC	CantoII-2	SSC-A	ssc_a	SSC-A
NIBSC	CantoII-2	SSC-H	ssc_h	SSC-H
NISTGB-LW	AttuneNXT	FSC-A	fsc_a	FSC-A
NISTGB-LW	AttuneNXT	SSC-A	ssc_a	SSC-A
NISTGB-LW	AttuneNXT	FSC-H	fsc_h	FSC-H
NISTGB-LW	AttuneNXT	SSC-H	ssc_h	SSC-H
NISTGB-LW	CytoflexLX	FSC-H	fsc_h	FSC-H
NISTGB-LW	CytoflexLX	FSC-A	fsc_a	FSC-A
NISTGB-LW	CytoflexLX	SSC-H	ssc_h	SSC-H
NISTGB-LW	CytoflexLX	SSC-A	ssc_a	SSC-A
Q2LabSol	Aurora-2	SSC-H	ssc_h	SSC-H
Q2LabSol	Aurora-2	SSC-A	ssc_a	SSC-A
Q2LabSol	Aurora-2	FSC-H	fsc_h	FSC-H
Q2LabSol	Aurora-2	FSC-A	fsc_a	FSC-A
Q2LabSol	Aurora	SSC-H	ssc_h	SSC-H
Q2LabSol	Aurora	SSC-A	ssc_a	SSC-A
Q2LabSol	Aurora	FSC-H	fsc_h	FSC-H
Q2LabSol	Aurora	FSC-A	fsc_a	FSC-A
SSBS	CytoflexS	FSC-H	fsc_h	FSC-H
SSBS	CytoflexS	FSC-A	fsc_a	FSC-A
SSBS	CytoflexS	SSC-H	ssc_h	SSC-H
SSBS	CytoflexS	SSC-A	ssc_a	SSC-A
SSBS	NorthernL	SSC-H	ssc_h	SSC-H
SSBS	NorthernL	SSC-A	ssc_a	SSC-A
SSBS	NorthernL	FSC-H	fsc_h	FSC-H
SSBS	NorthernL	FSC-A	fsc_a	FSC-A
UDel	FusionII	FSC-A	fsc_a	FSC-A
UDel	FusionII	FSC-H	fsc_h	FSC-H
UDel	FusionII	SSC-A	ssc_a	SSC-A
UDel	FusionII	SSC-H	ssc_h	SSC-H
UDel	FusionI	FSC-A	fsc_a	FSC-A
UDel	FusionI	FSC-H	fsc_h	FSC-H
UDel	FusionI	SSC-A	ssc_a	SSC-A
UDel	FusionI	SSC-H	ssc_h	SSC-H
WRAIR	Fortessa	FSC-A	fsc_a	FSC-A
WRAIR	Fortessa	FSC-H	fsc_h	FSC-H
WRAIR	Fortessa	SSC-A	ssc_a	SSC-A
WRAIR	Fortessa	SSC-H	ssc_h	SSC-H
AZGBBIO	Aurora	Time	time	Time
AZGBBIO	SymphonyA3	Time	time	Time
AZGBBIO	SymphonyA5	Time	time	Time
AZSSF	Aurora	Time	time	Time
AgilentSC	Quanteon	Time	time	Time
AgilentSD	Penteon	Time	time	Time
BCLS	CytoflexLXNUV	Time	time	Time
BCLS	CytoflexLX	Time	time	Time
BCLS	Cytoflex	Time	time	Time
BDSJ	Lyric-2	Time	time	Time
BDSJ	Lyric	Time	time	Time
BMSSeattle	CantoSORP-2	Time	time	Time
BMSSeattle	CantoSORP-3	Time	time	Time
BMSWarren	CantoSORP	Time	time	Time
BMSWarren	MQA10-1	HDR-T	time	Time
BMSWarren	MQA10-2	HDR-T	time	Time
CellBio	CellStream	Time	time	Time
CellBio	CytoflexS	Time	time	Time
FDACBER	AriaIII	Time	time	Time
FDACBER	Canto10	Time	time	Time
FDACBER	CantoII-1	Time	time	Time
FDACBER	Fortessa	Time	time	Time
ISAC	BRZE5	TIME	time	Time
ISAC	CantoII-1	Time	time	Time
ISAC	Lyric-1	Time	time	Time
KITE	CytoflexS	Time	time	Time
LMNXSEA	CellStream-1	Time	time	Time
LMNXSEA	CellStream-2	Time	time	Time
LMNXSEA	ImageStreamX-1	Time	time	Time
MSKCC	Aurora	Time	time	Time
NIBSC	AriaIII	Time	time	Time
NIBSC	CantoII-1	Time	time	Time
NIBSC	CantoII-2	Time	time	Time
NISTGB-LW	AttuneNXT	Time	time	Time
NISTGB-LW	CytoflexLX	Time	time	Time
Q2LabSol	Aurora-2	Time	time	Time
Q2LabSol	Aurora	Time	time	Time
SSBS	CytoflexS	Time	time	Time
SSBS	NorthernL	Time	time	Time
UDel	FusionII	Time	time	Time
UDel	FusionI	Time	time	Time
WRAIR	Fortessa	Time	time	Time
CellBio	CellStream	NA	ssc_a	SSC-A
CellBio	CellStream	NA	fsc_a	FSC-A
CellBio	CellStream	NA	ssc_h	SSC-H
CellBio	CellStream	NA	fsc_h	FSC-H
LMNXSEA	CellStream-1	NA	ssc_a	SSC-A
LMNXSEA	CellStream-1	NA	fsc_a	FSC-A
LMNXSEA	CellStream-1	NA	ssc_h	SSC-H
LMNXSEA	CellStream-1	NA	fsc_h	FSC-H
LMNXSEA	CellStream-2	NA	ssc_a	SSC-A
LMNXSEA	CellStream-2	NA	fsc_a	FSC-A
LMNXSEA	CellStream-2	NA	ssc_h	SSC-H
LMNXSEA	CellStream-2	NA	fsc_h	FSC-H
LMNXSEA	ImageStreamX-1	NA	ssc_a	SSC-A
LMNXSEA	ImageStreamX-1	NA	fsc_a	FSC-A
LMNXSEA	ImageStreamX-1	NA	ssc_h	SSC-H
LMNXSEA	ImageStreamX-1	NA	fsc_h	FSC-H
