org	machine	machine_name	std_name
AgilentSC	Quanteon	Time	time
AgilentSD	Penteon	Time	time
AZGBBIO	Aurora	Time	time
AZGBBIO	SymphonyA3	Time	time
AZGBBIO	SymphonyA5	Time	time
AZSSF	Aurora	Time	time
BCLS	Cytoflex	Time	time
BCLS	CytoflexLX	Time	time
BCLS	CytoflexLXNUV	Time	time
BDSJ	Lyric	Time	time
BDSJ	Lyric-2	Time	time
BMSSeattle	CantoSORP-2	Time	time
BMSSeattle	CantoSORP-3	Time	time
BMSWarren	CantoSORP	Time	time
BMSWarren	MQA10-1	HDR-T	time
BMSWarren	MQA10-2	HDR-T	time
CellBio	CellStream	Time	time
CellBio	CytoflexS	Time	time
FDACBER	AriaIII	Time	time
FDACBER	Fortessa	Time	time
ISAC	BRZE5	TIME	time
ISAC	CantoII-1	Time	time
ISAC	Lyric-1	Time	time
KITE	CytoflexS	Time	time
LMNXSEA	CellStream-1	Time	time
LMNXSEA	CellStream-2	Time	time
LMNXSEA	ImageStreamX-1	Time	time
MSKCC	Aurora	Time	time
NIBSC	AriaIII	Time	time
NIBSC	CantoII-1	Time	time
NIBSC	CantoII-2	Time	time
NISTGB-LW	AttuneNXT	Time	time
NISTGB-LW	CytoflexLX	Time	time
Q2LabSol	Aurora	Time	time
Q2LabSol	Aurora-2	Time	time
SSBS	CytoflexS	Time	time
SSBS	NorthernL	Time	time
UDel	FusionI	Time	time
UDel	FusionII	Time	time
WRAIR	Fortessa	Time	time
FDACBER	Canto10	Time	time
FDACBER	CantoII-1	Time	time
AgilentSC	Quanteon	FSC	fsc
AgilentSD	Penteon	FSC	fsc
AZGBBIO	Aurora	FSC	fsc
AZGBBIO	SymphonyA3	FSC	fsc
AZGBBIO	SymphonyA5	FSC	fsc
AZSSF	Aurora	FSC	fsc
BCLS	Cytoflex	FSC	fsc
BCLS	CytoflexLX	FSC	fsc
BCLS	CytoflexLXNUV	FSC	fsc
BDSJ	Lyric	FSC	fsc
BDSJ	Lyric-2	FSC	fsc
BMSSeattle	CantoSORP-2	FSC	fsc
BMSSeattle	CantoSORP-3	FSC	fsc
BMSWarren	CantoSORP	FSC	fsc
BMSWarren	MQA10-1	FSC	fsc
BMSWarren	MQA10-2	FSC	fsc
CellBio	CytoflexS	FSC	fsc
FDACBER	AriaIII	FSC	fsc
FDACBER	Canto10	FSC	fsc
FDACBER	CantoII-1	FSC	fsc
FDACBER	Fortessa	FSC	fsc
ISAC	BRZE5	FS00	fsc
ISAC	CantoII-1	FSC	fsc
ISAC	Lyric-1	FSC	fsc
KITE	CytoflexS	FSC	fsc
MSKCC	Aurora	FSC	fsc
NIBSC	AriaIII	FSC	fsc
NIBSC	CantoII-1	FSC	fsc
NIBSC	CantoII-2	FSC	fsc
NISTGB-LW	AttuneNXT	FSC	fsc
NISTGB-LW	CytoflexLX	FSC	fsc
Q2LabSol	Aurora	FSC	fsc
Q2LabSol	Aurora-2	FSC	fsc
SSBS	CytoflexS	FSC	fsc
SSBS	NorthernL	FSC	fsc
UDel	FusionI	FSC	fsc
UDel	FusionII	FSC	fsc
WRAIR	Fortessa	FSC	fsc
CellBio	CellStream	NA	fsc
LMNXSEA	CellStream-1	NA	fsc
LMNXSEA	CellStream-2	NA	fsc
LMNXSEA	ImageStreamX-1	NA	fsc
AgilentSC	Quanteon	SSC	ssc
AgilentSD	Penteon	SSC	ssc
AZGBBIO	Aurora	SSC	ssc
AZGBBIO	SymphonyA3	SSC	ssc
AZGBBIO	SymphonyA5	SSC	ssc
AZSSF	Aurora	SSC	ssc
BCLS	Cytoflex	SSC	ssc
BCLS	CytoflexLX	SSC	ssc
BCLS	CytoflexLXNUV	SSC	ssc
BDSJ	Lyric	SSC	ssc
BDSJ	Lyric-2	SSC	ssc
BMSSeattle	CantoSORP-2	SSC	ssc
BMSSeattle	CantoSORP-3	SSC	ssc
BMSWarren	CantoSORP	SSC	ssc
BMSWarren	MQA10-1	SSC	ssc
BMSWarren	MQA10-2	SSC	ssc
CellBio	CytoflexS	SSC	ssc
FDACBER	AriaIII	SSC	ssc
FDACBER	Canto10	SSC	ssc
FDACBER	CantoII-1	SSC	ssc
FDACBER	Fortessa	SSC	ssc
ISAC	BRZE5	SS02	ssc
ISAC	CantoII-1	SSC	ssc
ISAC	Lyric-1	SSC	ssc
KITE	CytoflexS	SSC	ssc
MSKCC	Aurora	SSC	ssc
NIBSC	AriaIII	SSC	ssc
NIBSC	CantoII-1	SSC	ssc
NIBSC	CantoII-2	SSC	ssc
NISTGB-LW	AttuneNXT	SSC	ssc
NISTGB-LW	CytoflexLX	SSC	ssc
Q2LabSol	Aurora	SSC	ssc
Q2LabSol	Aurora-2	SSC	ssc
SSBS	CytoflexS	SSC	ssc
SSBS	NorthernL	SSC	ssc
UDel	FusionI	SSC	ssc
UDel	FusionII	SSC	ssc
WRAIR	Fortessa	SSC	ssc
CellBio	CellStream	NA	ssc
LMNXSEA	CellStream-1	NA	ssc
LMNXSEA	CellStream-2	NA	ssc
LMNXSEA	ImageStreamX-1	NA	ssc
