material	sop	exp	rep	org	machine
FC-APC-Cy7	1	1	1	AgilentSC	Quanteon
FC-APC	1	1	1	AgilentSC	Quanteon
FC-FITC	1	1	1	AgilentSC	Quanteon
FC-PE-Cy7	1	1	1	AgilentSC	Quanteon
FC-PerCP-Cy5.5	1	1	1	AgilentSC	Quanteon
FC-PE	1	1	1	AgilentSC	Quanteon
FC-V450	1	1	1	AgilentSC	Quanteon
FC-V500-C	1	1	1	AgilentSC	Quanteon
RCP-30-5A	1	1	1	AgilentSC	Quanteon
APC-cryoPBMC	2	1	1	AgilentSC	Quanteon
APC-Cy7-cryoPBMC	2	1	1	AgilentSC	Quanteon
AqLD-lyoLeuk	2	1	1	AgilentSC	Quanteon
AxPB-lyoLeuk	2	1	1	AgilentSC	Quanteon
FITC-cryoPBMC	2	1	1	AgilentSC	Quanteon
PE-cryoPBMC	2	1	1	AgilentSC	Quanteon
PE-Cy7-cryoPBMC	2	1	1	AgilentSC	Quanteon
PerCP-Cy5.5-cryoPBMC	2	1	1	AgilentSC	Quanteon
APC-AbCTotal	2	2	1	AgilentSC	Quanteon
APC-Cy7-AbCTotal	2	2	1	AgilentSC	Quanteon
FITC-AbCTotal	2	2	1	AgilentSC	Quanteon
PE-AbCTotal	2	2	1	AgilentSC	Quanteon
PE-Cy7-AbCTotal	2	2	1	AgilentSC	Quanteon
PerCP-Cy5.5-AbCTotal	2	2	1	AgilentSC	Quanteon
APC-Versacmp	2	3	1	AgilentSC	Quanteon
APC-Cy7-Versacmp	2	3	1	AgilentSC	Quanteon
FITC-Versacmp	2	3	1	AgilentSC	Quanteon
PE-Versacmp	2	3	1	AgilentSC	Quanteon
PE-Cy7-Versacmp	2	3	1	AgilentSC	Quanteon
PerCP-Cy5.5-Versacmp	2	3	1	AgilentSC	Quanteon
AqBead	2	4	1	AgilentSC	Quanteon
PBBead	2	4	1	AgilentSC	Quanteon
cryoPBMC-APC-CD14-fmo	3	1	1	AgilentSC	Quanteon
cryoPBMC-APC-CD19-fmo	3	1	1	AgilentSC	Quanteon
cryoPBMC-APC-Cy7-fmo	3	1	1	AgilentSC	Quanteon
cryoPBMC-AqLD-fmo	3	1	1	AgilentSC	Quanteon
cryoPBMC-AxPB-fmo	3	1	1	AgilentSC	Quanteon
cryoPBMC-FITC-fmo	3	1	1	AgilentSC	Quanteon
cryoPBMC-PE-Cy7-fmo	3	1	1	AgilentSC	Quanteon
