org	machine	machine_name	std_name	std_name_long	ex	em	width	laser
AZGBBIO	Aurora	Time	time	Time	NA	NA	NA	NA
AZGBBIO	Aurora	FSC-A	fsc_a	FSC-A	NA	NA	NA	NA
AZGBBIO	Aurora	FSC-H	fsc_h	FSC-H	NA	NA	NA	NA
AZGBBIO	Aurora	SSC-A	ssc_a	SSC-A	NA	NA	NA	NA
AZGBBIO	Aurora	SSC-H	ssc_h	SSC-H	NA	NA	NA	NA
AZGBBIO	Aurora	V3-A	v450	V450/PB 	405	458	15	violet
AZGBBIO	Aurora	V7-A	v500	V500-C/Aqua	405	542	17	violet
AZGBBIO	Aurora	B2-A	fitc	FITC	488	525	17	blue
AZGBBIO	Aurora	YG1-A	pe	PE	561	577	20	yellow
AZGBBIO	Aurora	YG9-A	pc7	PE-Cy7	561	780	30	yellow
AZGBBIO	Aurora	B9-A	pc55	PerCP-Cy5.5	488	697	19	blue
AZGBBIO	Aurora	R1-A	apc	APC	640	660	17	red
AZGBBIO	Aurora	R7-A	ac7	APC-Cy7	640	783	23	red
AZGBBIO	SymphonyA3	Time	time	Time	NA	NA	NA	NA
AZGBBIO	SymphonyA3	FSC-A	fsc_a	FSC-A	NA	NA	NA	NA
AZGBBIO	SymphonyA3	FSC-H	fsc_h	FSC-H	NA	NA	NA	NA
AZGBBIO	SymphonyA3	SSC-A	ssc_a	SSC-A	NA	NA	NA	NA
AZGBBIO	SymphonyA3	SSC-H	ssc_h	SSC-H	NA	NA	NA	NA
AZGBBIO	SymphonyA3	BV421-A	v450	V450/PB 	405	450	40	violet
AZGBBIO	SymphonyA3	BV480-A	v500	V500-C/Aqua	405	510	20	violet
AZGBBIO	SymphonyA3	FITC-A	fitc	FITC	488	515	20	blue
AZGBBIO	SymphonyA3	PE-A	pe	PE	532	575	25	green
AZGBBIO	SymphonyA3	PE-Cy7-A	pc7	PE-Cy7	532	780	60	green
AZGBBIO	SymphonyA3	BB700-A	pc55	PerCP-Cy5.5	488	710	50	blue
AZGBBIO	SymphonyA3	APC-A	apc	APC	640	670	30	red
AZGBBIO	SymphonyA3	APC-Cy7-A	ac7	APC-Cy7	640	780	60	red
AZGBBIO	SymphonyA5	Time	time	Time	NA	NA	NA	NA
AZGBBIO	SymphonyA5	FSC-A	fsc_a	FSC-A	NA	NA	NA	NA
AZGBBIO	SymphonyA5	FSC-H	fsc_h	FSC-H	NA	NA	NA	NA
AZGBBIO	SymphonyA5	SSC-A	ssc_a	SSC-A	NA	NA	NA	NA
AZGBBIO	SymphonyA5	SSC-H	ssc_h	SSC-H	NA	NA	NA	NA
AZGBBIO	SymphonyA5	BV421-A	v450	V450/PB 	405	450	40	violet
AZGBBIO	SymphonyA5	BV480-A	v500	V500-C/Aqua	405	510	20	violet
AZGBBIO	SymphonyA5	FITC-A	fitc	FITC	488	515	20	blue
AZGBBIO	SymphonyA5	PE-A	pe	PE	532	575	25	green
AZGBBIO	SymphonyA5	PE-Cy7-A	pc7	PE-Cy7	532	780	60	green
AZGBBIO	SymphonyA5	BB700-A	pc55	PerCP-Cy5.5	488	710	50	blue
AZGBBIO	SymphonyA5	APC-A	apc	APC	640	670	30	red
AZGBBIO	SymphonyA5	APC-Cy7-A	ac7	APC-Cy7	640	780	60	red
AZSSF	Aurora	Time	time	Time	NA	NA	NA	NA
AZSSF	Aurora	FSC-A	fsc_a	FSC-A	NA	NA	NA	NA
AZSSF	Aurora	FSC-H	fsc_h	FSC-H	NA	NA	NA	NA
AZSSF	Aurora	SSC-A	ssc_a	SSC-A	NA	NA	NA	NA
AZSSF	Aurora	SSC-H	ssc_h	SSC-H	NA	NA	NA	NA
AZSSF	Aurora	V3-A	v450	V450/PB 	405	458	15	violet
AZSSF	Aurora	V7-A	v500	V500-C/Aqua	405	542	17	violet
AZSSF	Aurora	B2-A	fitc	FITC	488	525	17	blue
AZSSF	Aurora	B4-A	pe	PE	488	581	19	blue
AZSSF	Aurora	B13-A	pc7	PE-Cy7	488	783	23	blue
AZSSF	Aurora	B9-A	pc55	PerCP-Cy5.5	488	697	19	blue
AZSSF	Aurora	R1-A	apc	APC	640	660	17	red
AZSSF	Aurora	R7-A	ac7	APC-Cy7	640	783	23	red
AgilentSC	Quanteon	Time	time	Time	NA	NA	NA	NA
AgilentSC	Quanteon	FSC-A	fsc_a	FSC-A	NA	NA	NA	NA
